tijdstip;temperatuur;PAR;zonlicht;RV;neerslag
1/08/2018 0:00;20.32;2.75;745;61.45;0
1/08/2018 0:02;20.27;2.72;744.43;61.58;0
1/08/2018 0:04;20.24;2.74;731.36;61.28;0
1/08/2018 0:06;20.23;2.76;728.73;61.48;0
1/08/2018 0:08;20.22;2.74;732.15;61.61;0
1/08/2018 0:10;20.21;2.74;728.96;61.7;0
1/08/2018 0:12;20.19;2.72;733.39;61.76;0
1/08/2018 0:14;20.19;2.74;731.51;61.69;0
1/08/2018 0:16;20.19;2.76;715.21;61.69;0
1/08/2018 0:18;20.18;2.77;718.42;61.68;0
1/08/2018 0:20;20.18;2.75;723.26;61.53;0
1/08/2018 0:22;20.18;2.74;716.1;61.17;0
1/08/2018 0:24;20.18;2.73;719.75;61.27;0
1/08/2018 0:26;20.17;2.68;723.86;61.13;0
1/08/2018 0:28;20.15;2.71;718.27;61.28;0
1/08/2018 0:30;20.12;2.71;714.29;61.47;0
1/08/2018 0:32;20.09;2.72;711.98;61.53;0
1/08/2018 0:34;20.08;2.69;713.69;61.38;0
1/08/2018 0:36;20.06;2.68;715.96;61.15;0
1/08/2018 0:38;20.06;2.69;709.53;61.26;0
1/08/2018 0:40;20.06;2.68;705.83;60.73;0
1/08/2018 0:42;20.06;2.69;706.49;60.61;0
1/08/2018 0:44;20.06;2.71;706.29;60.44;0
1/08/2018 0:46;20.04;2.67;723.34;59.62;0
1/08/2018 0:48;20.03;2.65;729.55;59.26;0
1/08/2018 0:50;20.03;2.71;750.82;59.08;0
1/08/2018 0:52;20.03;2.73;690.11;58.92;0
1/08/2018 0:54;20.02;2.73;688.11;58.98;0
1/08/2018 0:56;20.02;2.67;686.41;58.45;0
1/08/2018 0:58;20.03;2.69;682.32;58.37;0
1/08/2018 1:00;20.02;2.67;686.43;58.27;0
1/08/2018 1:02;20.01;2.66;681.03;58.38;0
1/08/2018 1:04;19.99;2.69;678.26;58.53;0
1/08/2018 1:06;19.96;2.65;685;58.43;0
1/08/2018 1:08;19.93;2.69;705.34;58.3;0
1/08/2018 1:10;19.91;2.7;690.43;58.45;0
1/08/2018 1:12;19.88;2.72;681.88;58.52;0
1/08/2018 1:14;19.86;2.76;690.61;58.83;0
1/08/2018 1:16;19.83;2.71;675;59.1;0
1/08/2018 1:18;19.79;2.68;678;59.48;0
1/08/2018 1:20;19.73;2.74;674.61;59.54;0
1/08/2018 1:22;19.69;2.72;682.39;59.67;0
1/08/2018 1:24;19.64;2.71;672.13;60.2;0
1/08/2018 1:26;19.6;2.76;684.45;60.39;0
1/08/2018 1:28;19.61;2.77;677.11;60.41;0
1/08/2018 1:30;19.6;2.72;677.79;60.53;0
1/08/2018 1:32;19.59;2.75;672.73;60.47;0
1/08/2018 1:34;19.57;2.77;664.54;60.67;0
1/08/2018 1:36;19.56;2.75;678.06;60.72;0
1/08/2018 1:38;19.54;2.77;666.75;60.57;0
1/08/2018 1:40;19.52;2.76;676.21;60.52;0
1/08/2018 1:42;19.5;2.72;666.76;60.64;0
1/08/2018 1:44;19.49;2.73;655.53;60.76;0
1/08/2018 1:46;19.47;2.74;658.9;60.71;0
1/08/2018 1:48;19.45;2.72;658.09;60.52;0
1/08/2018 1:50;19.42;2.75;660.18;60.42;0
1/08/2018 1:52;19.43;2.76;662.35;60.28;0
1/08/2018 1:54;19.45;2.75;649.29;60.22;0
1/08/2018 1:56;19.44;2.73;654.11;60.24;0
1/08/2018 1:58;19.42;2.74;651.26;60.35;0
1/08/2018 2:00;19.41;2.79;651.08;60.43;0
1/08/2018 2:02;19.38;2.77;640.03;60.67;0
1/08/2018 2:04;19.36;2.76;650.78;60.82;0
1/08/2018 2:06;19.34;2.73;620.98;60.99;0
1/08/2018 2:08;19.35;2.77;635.46;61.03;0
1/08/2018 2:10;19.35;2.77;646.24;61.08;0
1/08/2018 2:12;19.34;2.77;635.35;61.22;0
1/08/2018 2:14;19.32;2.78;624.55;61.38;0
1/08/2018 2:16;19.3;2.81;629;61.52;0
1/08/2018 2:18;19.28;2.81;625.57;61.66;0
1/08/2018 2:20;19.25;2.83;627.77;61.85;0
1/08/2018 2:22;19.22;2.79;622.75;62.16;0
1/08/2018 2:24;19.19;2.83;627.87;62.31;0
1/08/2018 2:26;19.15;2.83;619.21;62.56;0
1/08/2018 2:28;19.11;2.79;618.17;62.8;0
1/08/2018 2:30;19.08;2.79;623.44;62.94;0
1/08/2018 2:32;19.06;2.81;613.88;63.1;0
1/08/2018 2:34;19.06;2.82;619.39;63.14;0
1/08/2018 2:36;19.06;2.8;615.23;63.28;0
1/08/2018 2:38;19.03;2.78;604.17;63.38;0
1/08/2018 2:40;18.98;2.78;615.53;63.65;0
1/08/2018 2:42;18.94;2.81;612.35;63.85;0
1/08/2018 2:44;18.89;2.84;592.82;64.14;0
1/08/2018 2:46;18.85;2.86;618.09;64.54;0
1/08/2018 2:48;18.82;2.88;603.37;64.72;0
1/08/2018 2:50;18.8;2.81;602.6;64.85;0
1/08/2018 2:52;18.78;2.83;594.76;65;0
1/08/2018 2:54;18.74;2.79;589.52;65.17;0
1/08/2018 2:56;18.68;2.82;588.56;65.44;0
1/08/2018 2:58;18.63;2.85;595.41;65.71;0
1/08/2018 3:00;18.62;2.85;586.38;65.8;0
1/08/2018 3:02;18.62;2.82;580.14;65.81;0
1/08/2018 3:04;18.55;2.82;591.64;66.13;0
1/08/2018 3:06;18.46;2.86;576.95;66.52;0
1/08/2018 3:08;18.4;2.85;586.07;66.84;0
1/08/2018 3:10;18.37;2.82;587.4;66.97;0
1/08/2018 3:12;18.37;2.81;570.05;67.01;0
1/08/2018 3:14;18.32;2.81;564.76;67.31;0
1/08/2018 3:16;18.29;2.79;581.37;67.48;0
1/08/2018 3:18;18.28;2.81;570.88;67.54;0
1/08/2018 3:20;18.29;2.78;555.51;67.53;0
1/08/2018 3:22;18.28;2.8;553.45;67.58;0
1/08/2018 3:24;18.23;2.81;554.01;67.79;0
1/08/2018 3:26;18.18;2.8;558.03;68.07;0
1/08/2018 3:28;18.13;2.82;556.23;68.33;0
