Denver;Colorado;727211
Colorado Springs;Colorado;478221
Washington;District of Columbia;705749
Jacksonville;Florida;911507
Miami;Florida;467963
Tampa;Florida;399700
Detroit;Michigan;670031
Houston;Texas;2320268
San Antonio;Texas;1547253
Dallas;Texas;1343573
Austin;Texas;978908
Fort Worth;Texas;909585
El Paso;Texas;681728
Arlington;Texas;398854
Atlanta;Georgia;506811
Kansas City;Missouri;495327
Chicago;Illinois;2693976
Indianapolis;Indiana;876384
Boston;Massachusetts;692600
Nashville;Tennessee;670820
Memphis;Tennessee;651073
Virginia Beach;Virginia;449974
Louisville;Kentucky;617638
Minneapolis;Minnesota;429606
Omaha;Nebraska;478192
Albuquerque;New Mexico;560513
New York City;New York;8336817
New Orleans;Louisiana;390144
Baltimore;Maryland;593490
Charlotte;North Carolina;885708
Raleigh;North Carolina;474069
Columbus;Ohio;898553
Las Vegas;Nevada;651319
Phoenix;Arizona;1680992
Tucson;Arizona;548073
Mesa;Arizona;518012
Oklahoma City;Oklahoma;655057
Tulsa;Oklahoma;401190
Portland;Oregon;654741
Philadelphia;Pennsylvania;1584064
Seattle;Washington;753675
Milwaukee;Wisconsin;590157
Los Angeles;California;3979576
San Diego;California;1423851
San Jose;California;1021795
San Francisco;California;881549
Fresno;California;531576
Sacramento;California;513624
Long Beach;California;462628
Oakland;California;433031
