tijdstip;temperatuur;PAR;zonlicht;RV;neerslag
8/10/2018 0:00;7.58;3.28;0;84.78;0
8/10/2018 0:02;7.53;3.26;0;84.78;0
8/10/2018 0:04;7.49;3.31;0;84.79;0
8/10/2018 0:06;7.44;3.31;0;84.74;0
8/10/2018 0:08;7.36;3.3;0;84.87;0
8/10/2018 0:10;7.25;3.32;0;84.77;0
8/10/2018 0:12;7.18;3.33;0;84.85;0
8/10/2018 0:14;7.18;3.36;0;84.77;0
8/10/2018 0:16;7.2;3.32;0;84.79;0
8/10/2018 0:18;7.18;3.33;0;84.79;0
8/10/2018 0:20;7.14;3.35;0;84.78;0
8/10/2018 0:22;7.12;3.32;0;84.81;0
8/10/2018 0:24;7.12;3.32;0;84.79;0
8/10/2018 0:26;7.09;3.38;0;84.79;0
8/10/2018 0:28;7.05;3.33;0;84.78;0
8/10/2018 0:30;7;3.31;0;84.86;0
8/10/2018 0:32;6.93;3.27;0;84.8;0
8/10/2018 0:34;6.89;3.3;0;84.81;0
8/10/2018 0:36;6.88;3.24;0;84.72;0
8/10/2018 0:38;6.86;3.27;0;84.79;0
8/10/2018 0:40;6.87;3.29;0;84.84;0
8/10/2018 0:42;6.87;3.29;0;84.75;0
8/10/2018 0:44;6.83;3.33;0;84.75;0
8/10/2018 0:46;6.8;3.31;0;84.79;0
8/10/2018 0:48;6.78;3.34;0;84.73;0
8/10/2018 0:50;6.75;3.34;0;84.76;0
8/10/2018 0:52;6.74;3.32;0;84.76;0
8/10/2018 0:54;6.76;3.34;0;84.79;0
8/10/2018 0:56;6.78;3.3;0;84.81;0
8/10/2018 0:58;6.81;3.26;0;84.82;0
8/10/2018 1:00;6.83;3.26;0;84.76;0
8/10/2018 1:02;6.82;3.28;0;84.81;0
8/10/2018 1:04;6.81;3.32;0;84.78;0
8/10/2018 1:06;6.8;3.33;0;84.72;0
8/10/2018 1:08;6.79;3.33;0;84.78;0
8/10/2018 1:10;6.76;3.28;0;84.74;0
8/10/2018 1:12;6.7;3.28;0;84.77;0
8/10/2018 1:14;6.68;3.28;0;84.8;0
8/10/2018 1:16;6.7;3.33;0;84.78;0
8/10/2018 1:18;6.75;3.32;0;84.69;0
8/10/2018 1:20;6.77;3.31;0;84.74;0
8/10/2018 1:22;6.78;3.33;0;84.79;0
8/10/2018 1:24;6.74;3.33;0;84.78;0
8/10/2018 1:26;6.71;3.28;0;84.76;0
8/10/2018 1:28;6.69;3.29;0;84.82;0
8/10/2018 1:30;6.71;3.3;0;84.75;0
8/10/2018 1:32;6.73;3.25;0;84.79;0
8/10/2018 1:34;6.72;3.28;0;84.77;0
8/10/2018 1:36;6.72;3.26;0;84.75;0
8/10/2018 1:38;6.72;3.25;0;84.77;0
